特效名稱,特效效果,選取上限次數,備註,出現權重(組別)
攻擊力提升,攻擊力增加10%,-,,1
耐久度提升,耐久度增加10%,-,,1
堅硬武具,「武具」耐久度增加12%,-,,1
穩固魔力,「魔法」耐久度增加12%,-,,1
強健生物,「召喚物」血量增加12%,-,,1
武具強化,使「武具」種類武器傷害增加12%,-,,1
魔力強化,使「魔法」種類武器傷害增加12%,-,,1
召靈強化,使「召喚」種類武器傷害增加12%,-,,1
銳化刀刃,使「刀刃」屬性武具傷害增加15%,-,,2
堅刃,使「刀刃」屬性武具耐久度增加15%,-,※藍色底的是今天(12/12)新增的 比較不會搞混,2
強化衝擊,使「打擊」屬性武具傷害增加15%,-,,2
硬化,使「打擊」屬性武具耐久度增加15%,-,,2
烈炎,使「火」屬性魔法傷害增加18%,-,,2
召炎,使「火」屬性魔法MP消耗減少18%,1,,2
止水,使「水」屬性魔法傷害增加18%,-,,2
引水,使「水」屬性魔法MP消耗減少18%,1,,2
狂風,使「風」屬性魔法傷害增加18%,-,,2
呼風,使「風」屬性魔法MP消耗減少18%,1,,2
響雷,使「雷」屬性魔法傷害增加18%,-,,2
喚雷,使「雷」屬性魔法MP消耗減少18%,1,,2
雙重施法,使用「魔法」時，有10%的機率不消耗MP額外發動一次,5,重複選取時，增加發動成功機率,3
雙重投擲,使用「武器」時，有10%的機率不消耗MP額外發動一次,5,重複選取時，增加發動成功機率,3
雙重召喚,使用「召喚」時，有10%的機率不消耗MP額外發動一次,5,重複選取時，增加發動成功機率,3
千變,當使用的武器與上一個不同時，增加12%傷害,3,,3
魔力回收,使用武器時，有20%的機率恢復一半的MP,1,※額外發動不會吃到這個恢復,3
魔力節約,使武器的消耗MP減少10% ( 四捨五入 ),3,,3
破滅衝擊,"當「武具」損壞時，在該位置產生小範圍衝擊
( 衝擊傷害 = 玩家攻擊力/10 * 該武器消耗MP )",1,※這個難寫就先不要理他(X,3
再生,當「召喚物」死亡時，有10%的機率在原地復活,1,"※視為召喚一隻新的同名召喚物
※原本就有復活能力的召喚物不套用此效果",3
